       3       6        -2.2477083354158117e-01 	 69  cos(2*s)*sin(3*s)
       4       6        -2.0899193018803944e-01 	 70  sin(2*s)*sin(3*s)
       5       6         2.1361481287460248e-02 	 71  cos(3*s)*sin(3*s)
       6       6        -8.9512770121619178e-01 	 72  sin(3*s)*sin(3*s)
       7       6        -4.6863625685304298e-02 	 73  cos(4*s)*sin(3*s)
       8       6        -3.2586719096939920e-01 	 74  sin(4*s)*sin(3*s)
       9       6         5.9784443275265650e-02 	 75  cos(5*s)*sin(3*s)
      10       6        -1.2066068528524673e-01 	 76  sin(5*s)*sin(3*s)
       0       7        -1.7197495340639174e-01 	 77  1*cos(4*s)
       1       7         3.3863757699408681e-01 	 78  cos(1*s)*cos(4*s)
       2       7        -1.0406154025477631e-01 	 79  sin(1*s)*cos(4*s)
       3       7        -1.8778062925776634e-01 	 80  cos(2*s)*cos(4*s)
       4       7         1.0694952639210610e-01 	 81  sin(2*s)*cos(4*s)
       5       7         1.5944812750812224e-02 	 82  cos(3*s)*cos(4*s)
       6       7         1.5979929620728160e-02 	 83  sin(3*s)*cos(4*s)
       7       7        -1.7752405605522836e-01 	 84  cos(4*s)*cos(4*s)
       8       7         8.7204155423340021e-02 	 85  sin(4*s)*cos(4*s)
       9       7        -9.0308548733939689e-02 	 86  cos(5*s)*cos(4*s)
      10       7         3.1357184914722259e-02 	 87  sin(5*s)*cos(4*s)
       0       8        -1.4505547711662770e-01 	 88  1*sin(4*s)
       1       8         1.1345007960611740e-01 	 89  cos(1*s)*sin(4*s)
       2       8        -3.9583413354821212e-02 	 90  sin(1*s)*sin(4*s)
       3       8         1.2136600925092625e-01 	 91  cos(2*s)*sin(4*s)
       4       8         4.0220486582734705e-01 	 92  sin(2*s)*sin(4*s)
       5       8         3.2505075039495013e-02 	 93  cos(3*s)*sin(4*s)
       6       8        -2.5741390215086574e-01 	 94  sin(3*s)*sin(4*s)
       7       8         1.2183459348729343e-01 	 95  cos(4*s)*sin(4*s)
       8       8         1.4978951260844900e-01 	 96  sin(4*s)*sin(4*s)
       9       8         4.6512665868459077e-02 	 97  cos(5*s)*sin(4*s)
      10       8         9.4100278693360573e-02 	 98  sin(5*s)*sin(4*s)
       0       9         1.4987594997752802e-02 	 99  1*cos(5*s)
       1       9         1.3095252996485152e-01 	100  cos(1*s)*cos(5*s)
       2       9        -2.4878947743796287e-02 	101  sin(1*s)*cos(5*s)
       3       9        -1.2047619746461151e-01 	102  cos(2*s)*cos(5*s)
       4       9        -1.4090915236787956e-02 	103  sin(2*s)*cos(5*s)
       5       9         1.9974291361297306e-01 	104  cos(3*s)*cos(5*s)
       6       9        -1.2160183908856587e-01 	105  sin(3*s)*cos(5*s)
       7       9        -1.5137664806213032e-02 	106  cos(4*s)*cos(5*s)
       8       9        -5.7691358343441003e-02 	107  sin(4*s)*cos(5*s)
       9       9        -1.2266664169121559e-02 	108  cos(5*s)*cos(5*s)
      10       9        -4.2842856069181132e-02 	109  sin(5*s)*cos(5*s)
       0      10        -9.5602379011995465e-03 	110  1*sin(5*s)
       1      10        -5.1980900856382406e-02 	111  cos(1*s)*sin(5*s)
       2      10         2.0965498223126756e-02 	112  sin(1*s)*sin(5*s)
       3      10        -7.8503568484564565e-02 	113  cos(2*s)*sin(5*s)
       4      10         9.6999071181531227e-02 	114  sin(2*s)*sin(5*s)
       5      10        -1.0349050001904715e-01 	115  cos(3*s)*sin(5*s)
       6      10        -1.4815038461289678e-01 	116  sin(3*s)*sin(5*s)
       7      10        -7.2155903485083620e-02 	117  cos(4*s)*sin(5*s)
       8      10         2.2479295901134677e-02 	118  sin(4*s)*sin(5*s)
       9      10        -6.1074579661759172e-02 	119  cos(5*s)*sin(5*s)
      10      10         1.5366446976361393e-02 	120  sin(5*s)*sin(5*s)
	
	
	
